"","Contract_ID","Summary_Score","Star_Rating_Current"
"21","H0028","Overall Star Rating","4"
"27","H0104","Overall Star Rating","4"
"63","H0150","Overall Star Rating","4"
"69","H0151","Overall Star Rating","3.5"
"75","H0154","Overall Star Rating","4"
"93","H0251","Overall Star Rating","3.5"
"105","H0294","Overall Star Rating","3.5"
"111","H0302","Overall Star Rating","4"
"117","H0321","Overall Star Rating","3"
"123","H0332","Overall Star Rating","4.5"
"135","H0351","Overall Star Rating","3.5"
"141","H0354","Overall Star Rating","5"
"153","H0423","Overall Star Rating","3"
"177","H0490","Overall Star Rating","3"
"185","H0504","Overall Star Rating","4"
"191","H0523","Overall Star Rating","3"
"197","H0524","Overall Star Rating","5"
"203","H0543","Overall Star Rating","4"
"209","H0544","Overall Star Rating","4"
"215","H0545","Overall Star Rating","3.5"
"221","H0562","Overall Star Rating","4"
"227","H0564","Overall Star Rating","3.5"
"233","H0571","Overall Star Rating","2.5"
"239","H0602","Overall Star Rating","4"
"245","H0609","Overall Star Rating","4.5"
"251","H0624","Overall Star Rating","3.5"
"257","H0630","Overall Star Rating","5"
"265","H0710","Overall Star Rating","4.5"
"271","H0712","Overall Star Rating","3"
"283","H0755","Overall Star Rating","4"
"301","H0838","Overall Star Rating","3"
"313","H0879","Overall Star Rating","4"
"319","H0908","Overall Star Rating","3"
"325","H0913","Overall Star Rating","3"
"343","H1016","Overall Star Rating","4"
"349","H1019","Overall Star Rating","4.5"
"355","H1026","Overall Star Rating","3.5"
"361","H1032","Overall Star Rating","3.5"
"367","H1035","Overall Star Rating","4"
"373","H1036","Overall Star Rating","4"
"379","H1045","Overall Star Rating","3.5"
"385","H1099","Overall Star Rating","3.5"
"391","H1109","Overall Star Rating","3.5"
"397","H1111","Overall Star Rating","3.5"
"403","H1112","Overall Star Rating","2.5"
"409","H1170","Overall Star Rating","4.5"
"423","H1230","Overall Star Rating","5"
"429","H1264","Overall Star Rating","3"
"435","H1286","Overall Star Rating","3.5"
"447","H1302","Overall Star Rating","3.5"
"453","H1304","Overall Star Rating","4"
"459","H1350","Overall Star Rating","4"
"471","H1365","Overall Star Rating","4.5"
"483","H1406","Overall Star Rating","4"
